Rk,Player,Tkl/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Tkl/90,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Pos
432,Mathis Amougou,2.2,2024-2025,18,fr FRA,2 Teams,2 Comps,18,867,9.6,9,9,4,0,0,0,0,0,0,0,2.2,1.6,1.6,0.5,0.1,1,2,52.6,0.9,1,0,1,1.2,3.4,0.4,0,MF
433,Marten de Roon,2.2,2024-2025,33,nl NED,Atalanta,it Serie A,36,3058,34,34,2,1,0.1,0.1,0.2,0.1,0,0,0,2.2,1.4,0.9,1.1,0.1,0.9,1.9,45.5,1.1,1.2,0.2,1,1.4,3.6,2,0,"MF,DF"
434,Jules Koundé,2.2,2024-2025,25,fr FRA,Barcelona,es La Liga,32,2605,28.9,29,3,1,0.1,0.1,0.2,0.1,0,0,0,2.2,1.5,1,0.8,0.4,1.5,2.3,66.7,0.8,1.2,0.2,1,0.7,2.9,2.3,0.1,DF
435,Valentin Atangana Edoa,2.2,2024-2025,18,fr FRA,Reims,fr Ligue 1,34,2854,31.7,33,1,0,0,0,0,0,0,0,0,2.2,1.6,1,0.9,0.2,0.9,1.2,73.7,0.3,1,0.5,0.5,1.2,3.3,2,0,MF
436,Malo Gusto,2.2,2024-2025,21,fr FRA,Chelsea,eng Premier League,32,1862,20.7,19,13,1,0,0,0,0,0,0,0,2.2,1.4,1.3,0.7,0.1,1.2,2.3,52.1,1.1,1.4,0.4,1,1.2,3.3,2.4,0.2,DF
437,Diogo Dalot,2.2,2024-2025,25,pt POR,Manchester Utd,eng Premier League,33,2814,31.3,31,2,0,0,0.1,0.1,0,0,0,0,2.2,1.3,1.3,0.7,0.2,1.1,1.7,65.4,0.6,0.7,0.3,0.4,1.2,3.4,2.3,0,DF
438,Mason Mount,2.2,2024-2025,25,eng ENG,Manchester Utd,eng Premier League,17,622,6.9,8,9,3,0.1,0,0.1,0.1,0,0,0,2.2,0.7,0.7,1.2,0.3,1.3,1.7,75,0.4,1.6,0.1,1.4,0.6,2.7,0.6,0,MF
439,Sergi Cardona,2.2,2024-2025,25,es ESP,Villarreal,es La Liga,35,2945,32.7,34,1,1,0,0.2,0.2,0,0,0,0,2.2,1.5,1.3,0.6,0.2,1.5,2.4,62,0.9,1.6,0.2,1.4,1.2,3.4,3.7,0,DF
440,Ross Barkley,2.2,2024-2025,30,eng ENG,Aston Villa,eng Premier League,20,581,6.5,3,17,4,0.5,0.2,0.6,0.5,0,0,0,2.2,0.5,0.6,1.5,0,1.4,2.2,64.3,0.8,1.4,0.5,0.9,1.5,3.7,0.8,0,MF
441,Mandela Keita,2.2,2024-2025,22,be BEL,Parma,it Serie A,30,1826,20.3,24,6,4,0,0.1,0.1,0,0,0,0,2.2,1.2,0.6,1.2,0.3,0.9,1.7,51.4,0.8,0.9,0.3,0.5,1,3.2,1.4,0.1,MF
442,Marvin,2.2,2024-2025,24,es ESP,Las Palmas,es La Liga,23,1038,11.5,9,14,1,0,0,0,0,0,0,0,2.2,1.1,1,0.8,0.3,1,2.3,42.3,1.3,1.5,0.5,1,1.3,3.5,2.9,0,"DF,FW"
443,Tomás Palacios,2.2,2024-2025,21,ar ARG,2 Teams,it Serie A,10,457,5.1,5,5,23,0,0,0,0,0,0,0,2.2,1,1.8,0.4,0,1.8,2.6,69.2,0.8,1.4,0.4,1,1.8,3.9,3.3,0.4,DF
444,Henri Koudossou,2.2,2024-2025,24,de GER,Augsburg,de Bundesliga,21,748,8.3,4,17,5,0,0,0,0,0,0,0,2.2,1.2,0.7,1.3,0.1,1.3,2.3,57.9,1,1,0.2,0.7,1.8,4,4.5,0,DF
445,Joël Schingtienne,2.2,2024-2025,21,be BEL,Venezia,it Serie A,16,1122,12.5,12,4,16,0,0,0,0,0,0,0,2.2,1.3,1.4,0.6,0.2,1,1.5,63.2,0.6,1.4,0.7,0.7,1.1,3.3,2,0.4,DF
446,Óscar Rodríguez Arnaiz,2.2,2024-2025,26,es ESP,Leganés,es La Liga,29,1330,14.8,12,17,5,0.1,0.3,0.3,0.1,0,0,0,2.2,1.2,0.7,1.1,0.4,0.9,2.2,43.8,1.2,0.7,0.1,0.6,1.4,3.5,1.4,0,"MF,FW"
447,Yvann Macon,2.2,2024-2025,25,fr FRA,Saint-Étienne,fr Ligue 1,12,790,8.8,10,2,2,0,0,0,0,0,0,0,2.2,1.3,1,0.8,0.3,1.1,2.4,47.6,1.3,1.6,0.5,1.1,0.2,2.4,1.1,0.1,DF
448,Pierre Højbjerg,2.2,2024-2025,28,dk DEN,Marseille,fr Ligue 1,30,2664,29.6,30,0,1,0.1,0.1,0.2,0.1,0,0,0,2.2,1.5,0.8,1.1,0.2,1.2,2.3,53.6,1.1,0.9,0.1,0.8,1.4,3.6,1.1,0.1,MF
449,Fabiano Parisi,2.2,2024-2025,23,it ITA,Fiorentina,it Serie A,26,1124,12.5,11,15,12,0.2,0,0.2,0.2,0,0,0,2.2,1.4,0.9,1,0.3,1,1.7,57.1,0.7,1.1,0.2,1,1.4,3.5,1.4,0,"DF,MF"
450,Maximilian Wittek,2.2,2024-2025,28,de GER,Bochum,de Bundesliga,33,2706,30.1,32,1,0,0,0,0,0,0,0,0,2.2,1.4,1.3,0.6,0.2,1.3,1.8,70.4,0.5,1.8,0.3,1.5,0.9,3.1,3,0.1,DF
451,Ki-Jana Hoever,2.2,2024-2025,22,nl NED,Auxerre,fr Ligue 1,30,2124,23.6,26,4,1,0,0.1,0.1,0,0,0,0,2.2,1.6,1.1,0.7,0.4,1.3,2.3,55.6,1,1.4,0.1,1.3,0.9,3.1,3,0,DF
452,Arda Güler,2.2,2024-2025,19,tr TUR,Real Madrid,es La Liga,28,1250,13.9,14,14,10,0.2,0.3,0.5,0.2,0,0,0,2.2,1.2,0.8,0.6,0.8,0.6,1.6,40.9,0.9,1.3,0,1.3,0.5,2.7,0.6,0,"MF,FW"
453,Teddy Teuma,2.2,2024-2025,30,mt MLT,Reims,fr Ligue 1,17,750,8.3,9,8,6,0.1,0,0.1,0,0.1,0.1,0,2.2,1.2,0.7,0.7,0.7,0.8,3,28,2.2,1.4,0.2,1.2,1.4,3.6,1,0.1,MF
