,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,,,Short,,,Medium,,,Long,,,
Rk,Player,Cmp/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp/90,Att,Cmp%,KP,03-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos
430,Jon Martin,46.6,2024-2025,18,es ESP,Real Sociedad,es La Liga,13,904,10,6,7,24,0,0.1,0.1,0,0,0,0,46.6,53.7,86.8,0.4,1.9,0.2,0,3.4,909,296.2,13.5,15.4,87.7,29.1,31.3,93,3.7,5.9,62.7,DF
431,Scott McKenna,46.6,2024-2025,27,sct SCO,Las Palmas,es La Liga,29,2466,27.4,28,1,1,0,0,0,0,0,0,0,46.6,53.7,86.7,0.1,1.8,0,0,1.6,863,287.4,16.1,17.5,92.1,26.8,29.2,91.8,3.1,5.8,53.8,DF
432,Edoardo Goldaniga,46.6,2024-2025,30,it ITA,Como,it Serie A,32,2532,28.1,28,4,3,0,0,0,0,0,0,0,46.6,53.9,86.4,0.1,2.8,0.2,0,2.9,858.9,328.7,17.6,18.7,94.5,24.2,26.4,91.8,3.8,7,54,DF
433,Myles Lewis-Skelly,46.5,2024-2025,17,eng ENG,Arsenal,eng Premier League,23,1369,15.2,15,8,9,0.1,0,0.1,0.1,0,0,0,46.5,51,91.2,0.5,4.3,0.7,0.1,4.7,691.9,151.7,25.9,27,96.1,19.1,20.8,91.8,0.9,1.6,58.3,DF
434,Alberto Moreno,46.5,2024-2025,32,es ESP,Como,it Serie A,24,1727,19.2,21,3,6,0,0,0,0,0,0,0,46.5,56.4,82.5,1,3.3,1.2,0.6,4.2,818.8,288.6,20,21.9,91.2,21.7,24.8,87.8,4,7.3,54.3,DF
435,Danilo D'Ambrosio,46.5,2024-2025,35,it ITA,Monza,it Serie A,20,1095,12.2,12,8,6,0,0.1,0.1,0,0,0,0,46.5,53.6,86.8,0.4,2.1,0.5,0.2,2.8,800.2,280.7,21,22.1,94.8,22.4,24.7,90.7,2.8,5.3,53.1,DF
436,Ellyes Skhiri,46.5,2024-2025,29,tn TUN,Eint Frankfurt,de Bundesliga,30,2231,24.8,26,4,2,0,0.1,0.1,0,0,0,0,46.5,52.6,88.5,0.9,3.3,0.7,0,4.2,706.8,199.4,24.8,26.6,93.2,17.6,19.6,89.9,2.3,3.4,65.9,MF
437,Leonidas Stergiou,46.5,2024-2025,22,ch SUI,Stuttgart,de Bundesliga,12,852,9.5,11,1,4,0.1,0.2,0.3,0.1,0,0,0,46.5,56.4,82.4,0.4,3.2,0.1,0,4.1,733.2,230,26.4,28.7,91.9,16.7,20.2,82.7,2.7,5.2,53.1,DF
438,Natan,46.4,2024-2025,23,br BRA,Betis,es La Liga,31,2175,24.2,23,8,5,0,0,0.1,0,0,0,0,46.4,52.3,88.7,0.2,2.2,0.1,0,2.2,890.1,292.3,15.8,16.8,94.3,25.8,28,92,4.3,6.8,63.4,DF
439,Enzo Fernández,46.4,2024-2025,23,ar ARG,Chelsea,eng Premier League,36,2947,32.7,32,4,0,0.2,0.2,0.4,0.2,0,0,0,46.4,58,79.9,2.4,5.1,1.3,0.2,6.5,817.7,229.4,21.4,24.1,88.7,19.1,22.5,84.9,4.8,8.3,57.5,MF
