Rk,Player,Tkl/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Tkl/90,TklW,Def 3rd,Mid 3rd,Att 3rd,Challenges Tkl,ChallengesAtt,Challenges Tkl%,Challenges Lost,Blocks,Sh Blocks,Pass Blocks,Int,Tkl+Int,Clr,Err,Pos
242,Strahinja Pavlovi?,2.5,2024-2025,23,rs SRB,Milan,it Serie A,24,1864,20.7,21,3,13,0.1,0,0.1,0.1,0,0,0,2.5,1.5,1.5,0.9,0,1.4,2.4,58,1,0.8,0.3,0.5,0.8,3.3,4,0,DF
243,Timothy Castagne,2.5,2024-2025,28,be BEL,Fulham,eng Premier League,24,1649,18.3,17,7,9,0,0.1,0.1,0,0,0,0,2.5,1.6,1.5,0.8,0.2,1.4,2.5,57.8,1,0.8,0.3,0.5,1.2,3.7,4.5,0,DF
244,Kilian Fischer,2.5,2024-2025,23,de GER,Wolfsburg,de Bundesliga,32,2297,25.5,29,3,0,0,0,0,0,0,0,0,2.5,1.7,1.9,0.5,0.2,1.8,3.5,52.8,1.6,1.6,0.3,1.3,0.7,3.3,3.8,0.1,DF
245,Kobbie Mainoo,2.5,2024-2025,19,eng ENG,Manchester Utd,eng Premier League,25,1651,18.3,19,6,1,0,0,0,0,0,0,0,2.5,1.6,1,0.8,0.8,1.3,2.2,60,0.9,0.9,0.1,0.8,1,3.5,0.8,0.1,MF
246,Bruno Fernandes,2.5,2024-2025,29,pt POR,Manchester Utd,eng Premier League,36,3018,33.5,35,1,1,0.2,0.3,0.5,0.1,0.1,0.1,0,2.5,1.5,0.8,1.1,0.6,1,2.5,40,1.5,1,0.2,0.9,0.8,3.3,1,0.1,MF
247,Gleison Bremer,2.5,2024-2025,27,br BRA,Juventus,it Serie A,6,540,6,6,0,0,0,0,0,0,0,0,0,2.5,1.2,1.5,0.8,0.2,0.7,0.8,80,0.2,2.5,1.8,0.7,1,3.5,2.7,0,DF
248,Stanko Juri?,2.5,2024-2025,27,hr CRO,Valladolid,es La Liga,26,1729,19.2,19,7,8,0,0,0,0,0,0,0,2.5,1.2,1.4,1,0.2,1,2.5,39.6,1.5,1.8,0.6,1.2,1.2,3.7,2.7,0,MF
249,Youri Tielemans,2.5,2024-2025,27,be BEL,Aston Villa,eng Premier League,36,3026,33.6,35,1,0,0.1,0.2,0.3,0.1,0,0,0,2.5,1.7,1,1.3,0.2,1.2,2.2,54.8,1,1.1,0.5,0.7,0.7,3.2,1.4,0.1,MF
250,Valentin Rosier,2.5,2024-2025,27,fr FRA,Leganés,es La Liga,32,2595,28.8,28,4,2,0,0.1,0.1,0,0,0,0,2.5,1.8,1.7,0.6,0.3,1.5,2.4,63.2,0.9,1.4,0.5,0.9,1.8,4.3,5.2,0.1,DF
251,Désiré Doué,2.5,2024-2025,19,fr FRA,Paris S-G,fr Ligue 1,31,1730,19.2,18,13,1,0.3,0.3,0.6,0.3,0,0,0,2.5,1.6,0.8,1,0.7,1.2,2.7,47.1,1.4,1.4,0,1.4,0.7,3.2,0.4,0,"FW,MF"
